phase,variant,asset,arch,model,rule,annualized_sharpe,total_return,max_drawdown,n_trades,win_rate
P5.1,baseline,btc,2stage_macro,lightgbm,stateful,0.9515837880727664,15.04841051369613,-0.5511614725629037,217,0.5806451612903226
P5.1,baseline,btc,2stage_macro,mlp,prob_weighted,0.7587423197132818,4.7640221576872515,-0.5199972232236958,279,0.5483870967741935
P5.1,baseline,btc,2stage_macro,random_forest,stateful,0.9773402632769288,16.058619909320896,-0.5314385626799722,185,0.5621621621621622
P5.1,baseline,btc,2stage_macro,xgboost,stateful,0.9326863258057508,13.514117213514924,-0.6709287396225089,251,0.5617529880478087
P5.1,baseline,btc,2stage_trend,lightgbm,prob_weighted,1.075575333922674,5.3901614221184735,-0.2784026652787069,297,0.5791245791245792
P5.1,baseline,btc,2stage_trend,mlp,stateful,0.8712728451124142,13.75734476903507,-0.5095553876139057,167,0.4850299401197604
P5.1,baseline,btc,2stage_trend,random_forest,stateful,1.0119261463788276,19.721276578601024,-0.4462209239546227,173,0.5202312138728323
P5.1,baseline,btc,2stage_trend,xgboost,stateful,0.8800430925016512,11.790952314630358,-0.4070069734400483,202,0.5544554455445545
P5.1,baseline,btc,3stage_full,lightgbm,stateful,1.0927716653310473,25.18939631156961,-0.4307741045812655,207,0.5893719806763285
P5.1,baseline,btc,3stage_full,mlp,defensive,0.8996176296881436,10.8423467315583,-0.4941351846664664,236,0.5550847457627118
P5.1,baseline,btc,3stage_full,random_forest,stateful,1.0679913216469574,21.862729988687313,-0.5183157559847753,176,0.5681818181818182
P5.1,baseline,btc,3stage_full,xgboost,stateful,1.1470791622327978,29.013821360472036,-0.4599444471123002,179,0.5921787709497207
P5.1,baseline,btc,flat,lightgbm,stateful,0.9131491684538154,14.693860735477363,-0.7154397678677726,314,0.5477707006369427
P5.1,baseline,btc,flat,mlp,stateful,0.7846901583297464,10.207180591748292,-0.6198639649208446,238,0.5084033613445378
P5.1,baseline,btc,flat,random_forest,stateful,0.9201558712830245,15.820088119878369,-0.7150834886872707,272,0.5257352941176471
P5.1,baseline,btc,flat,xgboost,stateful,0.9282939639043714,15.645834649503673,-0.7509319531518506,321,0.5482866043613707
P5.1,baseline,eth,2stage_macro,lightgbm,prob_weighted,0.3088877029110944,0.1460092242042583,-0.1651386049500096,164,0.5853658536585366
P5.1,baseline,eth,2stage_macro,mlp,stateful,0.4724081350952956,0.6929379136841083,-0.5051159728418166,106,0.5471698113207547
P5.1,baseline,eth,2stage_macro,random_forest,stateful,0.4105750756543094,0.4933236198422526,-0.597489390975507,102,0.6078431372549019
P5.1,baseline,eth,2stage_macro,xgboost,defensive,0.1650940674085854,-0.0700539852405323,-0.6080567935454152,181,0.5524861878453039
P5.1,baseline,eth,2stage_trend,lightgbm,prob_weighted,0.2874059814017319,0.1561030071062894,-0.2251328831432884,133,0.4812030075187969
P5.1,baseline,eth,2stage_trend,mlp,prob_weighted,0.3235209785790566,0.2864846678011206,-0.4573424330908237,158,0.5506329113924051
P5.1,baseline,eth,2stage_trend,random_forest,prob_weighted,0.2531610485254741,0.0824742156816815,-0.1626059653512036,121,0.512396694214876
P5.1,baseline,eth,2stage_trend,xgboost,defensive,0.3872048505214163,0.4324791425137437,-0.548877670497288,135,0.5777777777777777
P5.1,baseline,eth,3stage_full,lightgbm,prob_weighted,0.3357577858348306,0.1914947150597692,-0.1804997393203326,132,0.5454545454545454
P5.1,baseline,eth,3stage_full,mlp,defensive,0.3180933428485127,0.2484003394798708,-0.4398764830298731,134,0.4925373134328358
P5.1,baseline,eth,3stage_full,random_forest,stateful,0.1557882325879343,-0.1179503255984264,-0.6335817443497497,77,0.5454545454545454
P5.1,baseline,eth,3stage_full,xgboost,prob_weighted,0.1660513190772544,0.0629487436799205,-0.2449277366912234,111,0.6306306306306306
P5.1,baseline,eth,flat,lightgbm,prob_weighted,0.5223962929197133,0.2572675224320111,-0.1819782268974483,192,0.5520833333333334
P5.1,baseline,eth,flat,mlp,stateful,0.4615423941953488,0.6595775765331378,-0.5253167863342862,84,0.4404761904761904
P5.1,baseline,eth,flat,random_forest,stateful,0.3569187133368517,0.3369272094782531,-0.5694419431988031,104,0.4903846153846153
P5.1,baseline,eth,flat,xgboost,prob_weighted,0.4181866868833661,0.2144948085792832,-0.2053042855704853,215,0.5116279069767442
P7,regime_aware,btc,3stage_full_regime,lightgbm,stateful,1.1698996786475946,26.27218021431674,-0.2857787376023222,129,0.5736434108527132
P7,regime_aware,btc,3stage_full_regime,mlp,defensive,0.7101898608313242,4.902804418055753,-0.6322745332778885,229,0.5545851528384279
P7,regime_aware,btc,3stage_full_regime,random_forest,stateful,1.19795878742677,29.42593568153875,-0.4397162901468759,133,0.6090225563909775
P7,regime_aware,btc,3stage_full_regime,xgboost,stateful,1.0617710721370897,21.329874073706005,-0.4275946182787585,168,0.6488095238095238
P7,regime_aware,eth,3stage_full_regime,lightgbm,prob_weighted,0.3341595862193348,0.1466638586983926,-0.1329617852862887,95,0.5263157894736842
P7,regime_aware,eth,3stage_full_regime,mlp,defensive,-0.4704231646474186,-0.7588203363865137,-0.8554828329990966,123,0.4715447154471545
P7,regime_aware,eth,3stage_full_regime,random_forest,prob_weighted,0.2095158491217774,0.0614291678373184,-0.1046599372058123,91,0.5714285714285714
P7,regime_aware,eth,3stage_full_regime,xgboost,defensive,0.240634541662267,0.0869999047863567,-0.5831128964687273,154,0.5324675324675324
P8,p8_cal,btc,3stage_full,lightgbm,defensive,0.6256896008947722,3.892289031779364,-0.5306185040984174,148,0.527027027027027
P8,p8_cal,btc,3stage_full,mlp,defensive,0.6911812657007225,5.860241484363058,-0.7130670752344508,128,0.5546875
P8,p8_cal,btc,3stage_full,random_forest,defensive,0.9614039411772336,16.205324061080905,-0.4834621944463306,122,0.5491803278688525
P8,p8_cal,btc,3stage_full,xgboost,stateful,0.7912961961869472,8.21601109368421,-0.5306185040984172,124,0.6290322580645161
P8,p8_cal,eth,flat,lightgbm,prob_weighted,0.444297176318454,0.240396604027119,-0.1717009780708579,101,0.5247524752475248
P8,p8_cal,eth,flat,mlp,prob_weighted,0.4326325937495583,0.2620402978398526,-0.2001143078372205,60,0.6
P8,p8_cal,eth,flat,random_forest,stateful,0.3773488280854937,0.4044669488614605,-0.5290699000423624,90,0.6444444444444445
P8,p8_cal,eth,flat,xgboost,prob_weighted,0.2315648212432681,0.090907683772599,-0.2236952626710036,111,0.5135135135135135
P8,p8_raw,btc,3stage_full,lightgbm,stateful,0.837065824703115,8.940083462433458,-0.5570230167210428,199,0.6030150753768844
P8,p8_raw,btc,3stage_full,mlp,stateful,0.7949296696726827,8.375722565960873,-0.6214449436547931,177,0.5141242937853108
P8,p8_raw,btc,3stage_full,random_forest,stateful,0.8449110493601643,9.470272191549734,-0.4879201565591241,184,0.5434782608695652
P8,p8_raw,btc,3stage_full,xgboost,defensive,0.8060487869884021,6.424117676927642,-0.2843169544834844,265,0.5811320754716981
P8,p8_raw,eth,flat,lightgbm,prob_weighted,0.5281459568879466,0.2737914760131321,-0.217150832723029,198,0.5202020202020202
P8,p8_raw,eth,flat,mlp,stateful,0.520419146005668,0.9116202755573132,-0.6182146016405404,72,0.4861111111111111
P8,p8_raw,eth,flat,random_forest,stateful,0.5568701977785638,1.052746957277915,-0.6933830276066534,103,0.5436893203883495
P8,p8_raw,eth,flat,xgboost,defensive,0.4228347132533784,0.5315546175106249,-0.5394600420185325,209,0.5358851674641149
P9,oversampled,btc,3stage_full,mlp,stateful,0.8112998257371479,8.956185071301126,-0.5403744155958804,204,0.5
P9,oversampled,btc,flat,mlp,stateful,0.7216673666494386,6.548985190003536,-0.7689101730927449,253,0.5533596837944664
P9,oversampled,eth,3stage_full,mlp,prob_weighted,0.1700685659550956,-0.0215506560073374,-0.5194998696337665,121,0.4462809917355372
P9,oversampled,eth,flat,mlp,stateful,0.2134687403792069,-0.0038677749688094,-0.6844646384527413,147,0.5034013605442177
