phase,variant,asset,arch,model,n_oof,accuracy,f1_macro,f1_sell,f1_hold,f1_buy
P5.1,baseline,btc,flat,xgboost,2400,0.3791666666666666,0.349400230476063,0.3827983040581466,0.2040816326530612,0.4613207547169811
P5.1,baseline,btc,flat,lightgbm,2400,0.3841666666666666,0.3465757475136335,0.3925346177001806,0.1720647773279352,0.4751278475127847
P5.1,baseline,btc,flat,random_forest,2400,0.3729166666666667,0.3279496147033686,0.3711711711711711,0.1444201312910284,0.4682575416479063
P5.1,baseline,btc,flat,mlp,2400,0.405,0.3042899854116883,0.3207920792079208,0.0576923076923076,0.5343855693348365
P5.1,baseline,btc,2stage_trend,xgboost,2400,0.3941666666666666,0.3605101866853741,0.429123000551572,0.1991525423728813,0.4532550171316691
P5.1,baseline,btc,2stage_trend,lightgbm,2400,0.3829166666666667,0.3473143034413435,0.4074492099322799,0.1772679874869656,0.4572257129047849
P5.1,baseline,btc,2stage_trend,random_forest,2400,0.4054166666666666,0.368721845635192,0.4434829637641969,0.1969696969696969,0.4657128761716823
P5.1,baseline,btc,2stage_trend,mlp,2400,0.375,0.3102305104048231,0.3335447051363348,0.1088607594936708,0.4882860665844636
P5.1,baseline,btc,2stage_macro,xgboost,2400,0.3858333333333333,0.3562679349460948,0.4060676779463243,0.2043222003929273,0.4584139264990329
P5.1,baseline,btc,2stage_macro,lightgbm,2400,0.3866666666666666,0.3611807048689382,0.4111045481393975,0.2164179104477611,0.456019656019656
P5.1,baseline,btc,2stage_macro,random_forest,2400,0.3745833333333333,0.3559333519568586,0.3909512761020882,0.2445255474452554,0.4323232323232323
P5.1,baseline,btc,2stage_macro,mlp,2400,0.3970833333333333,0.3421296830801981,0.3807312826465467,0.1558441558441558,0.4898136107498916
P5.1,baseline,btc,3stage_full,xgboost,2400,0.3908333333333333,0.3671348277010435,0.4256719692814042,0.238423645320197,0.437308868501529
P5.1,baseline,btc,3stage_full,lightgbm,2400,0.4004166666666666,0.3608578786438827,0.4313725490196078,0.1888509670079635,0.4623501199040767
P5.1,baseline,btc,3stage_full,random_forest,2400,0.4004166666666666,0.3596820564468921,0.4456177402323125,0.1824480369515011,0.4509803921568627
P5.1,baseline,btc,3stage_full,mlp,2400,0.3908333333333333,0.3465253027958459,0.3962472406181015,0.1771217712177121,0.4662068965517241
P5.1,baseline,eth,flat,xgboost,1200,0.3641666666666667,0.3541786420310948,0.3939745075318656,0.277027027027027,0.3915343915343915
P5.1,baseline,eth,flat,lightgbm,1200,0.3575,0.3474610607364491,0.3903559127439724,0.2666666666666666,0.3853606027987082
P5.1,baseline,eth,flat,random_forest,1200,0.37,0.3595496592490861,0.4018801410105758,0.2694805194805195,0.4072883172561629
P5.1,baseline,eth,flat,mlp,1200,0.4166666666666667,0.2851902777892821,0.3058470764617691,0.0,0.5497237569060773
P5.1,baseline,eth,2stage_trend,xgboost,1200,0.38,0.3611302544858987,0.3792270531400966,0.2508833922261484,0.4532803180914513
P5.1,baseline,eth,2stage_trend,lightgbm,1200,0.3866666666666666,0.3651900507903022,0.3592814371257485,0.2697495183044316,0.4665391969407266
P5.1,baseline,eth,2stage_trend,random_forest,1200,0.3841666666666666,0.3576473768944085,0.3854289071680376,0.2278978388998035,0.4596153846153846
P5.1,baseline,eth,2stage_trend,mlp,1200,0.3508333333333333,0.3208108660093657,0.3408284023668639,0.1965811965811965,0.4250229990800368
P5.1,baseline,eth,2stage_macro,xgboost,1200,0.3791666666666666,0.3550270824281141,0.3945885005636979,0.2343434343434343,0.4361493123772102
P5.1,baseline,eth,2stage_macro,lightgbm,1200,0.3666666666666666,0.3465180697783374,0.3958573072497123,0.2250922509225092,0.4186046511627907
P5.1,baseline,eth,2stage_macro,random_forest,1200,0.3783333333333333,0.348156865328479,0.4301310043668122,0.1922290388548057,0.4221105527638191
P5.1,baseline,eth,2stage_macro,mlp,1200,0.4008333333333333,0.3430988510986905,0.3847072879330944,0.1563342318059299,0.4882550335570469
P5.1,baseline,eth,3stage_full,xgboost,1200,0.3841666666666666,0.3676816785798188,0.3766081871345029,0.2743682310469314,0.4520686175580222
P5.1,baseline,eth,3stage_full,lightgbm,1200,0.3733333333333333,0.3497666088003953,0.3655913978494624,0.2396856581532416,0.444022770398482
P5.1,baseline,eth,3stage_full,random_forest,1200,0.3866666666666666,0.364493623535757,0.3878241262683202,0.2514734774066797,0.4541832669322709
P5.1,baseline,eth,3stage_full,mlp,1200,0.3525,0.3115552576348376,0.3715319662243667,0.1350762527233115,0.4280575539568345
P7,regime_aware,btc,3stage_full_regime,xgboost,2400,0.39125,0.3666554113596469,0.4293419633225458,0.232055063913471,0.4385692068429238
P7,regime_aware,btc,3stage_full_regime,lightgbm,2400,0.3720833333333333,0.3593245026253223,0.4131038312048862,0.2541254125412541,0.4107442641298265
P7,regime_aware,btc,3stage_full_regime,random_forest,2400,0.3820833333333333,0.362769578026993,0.4336707511987213,0.2424242424242424,0.4122137404580153
P7,regime_aware,btc,3stage_full_regime,mlp,2400,0.36625,0.3346472351272858,0.3965702036441586,0.1818181818181818,0.4255533199195171
P7,regime_aware,eth,3stage_full_regime,xgboost,1200,0.3925,0.3644657207220684,0.3671497584541063,0.2515463917525773,0.4747010119595216
P7,regime_aware,eth,3stage_full_regime,lightgbm,1200,0.3766666666666666,0.3586351955280258,0.3800904977375565,0.2651072124756335,0.4307078763708873
P7,regime_aware,eth,3stage_full_regime,random_forest,1200,0.3891666666666666,0.3648158967417502,0.3807339449541284,0.2540983606557377,0.4596153846153846
P7,regime_aware,eth,3stage_full_regime,mlp,1200,0.3466666666666667,0.2999209291071609,0.3078913324708926,0.1461187214611872,0.4457527333894028
P9,oversampled,btc,3stage_full,mlp,2400,0.38125,0.3563478889620369,0.386949055523755,0.2335329341317365,0.4485616772306192
P9,oversampled,btc,flat,mlp,2400,0.3625,0.3347623569345888,0.3125419181757209,0.2288828337874659,0.4628623188405797
P9,oversampled,eth,flat,mlp,1200,0.3483333333333333,0.332746871145144,0.358974358974359,0.2408759124087591,0.3983903420523139
P9,oversampled,eth,3stage_full,mlp,1200,0.3516666666666667,0.3344757001169361,0.3245283018867924,0.2572463768115942,0.4216524216524216
