rule,asset,model,total_return,annualized_sharpe,max_drawdown,n_trades,win_rate,final_equity,n_days,span_start,span_end,arch,variant
stateful,btc,xgboost,6.8026953053950985,0.770239568725192,-0.3959927118163372,185,0.5837837837837838,7.8026953053950985,2400,2019-01-26,2025-09-05,3stage_full,raw
defensive,btc,xgboost,6.424117676927642,0.8060487869884021,-0.2843169544834844,265,0.5811320754716981,7.424117676927642,2400,2019-01-26,2025-09-05,3stage_full,raw
prob_weighted,btc,xgboost,1.288381743568237,0.6060252573478092,-0.2542340716937844,264,0.5833333333333334,2.288381743568237,2400,2019-01-26,2025-09-05,3stage_full,raw
stateful,btc,xgboost,8.21601109368421,0.7912961961869472,-0.5306185040984172,124,0.6290322580645161,9.21601109368421,2400,2019-01-26,2025-09-05,3stage_full,cal
defensive,btc,xgboost,7.403739443958141,0.7669494380285354,-0.5306185040984168,132,0.6060606060606061,8.403739443958141,2400,2019-01-26,2025-09-05,3stage_full,cal
prob_weighted,btc,xgboost,1.19163519947438,0.6402261028670546,-0.25814155847625364,124,0.6774193548387096,2.19163519947438,2400,2019-01-26,2025-09-05,3stage_full,cal
stateful,btc,lightgbm,8.940083462433458,0.837065824703115,-0.5570230167210428,199,0.6030150753768844,9.940083462433458,2400,2019-01-26,2025-09-05,3stage_full,raw
defensive,btc,lightgbm,4.473616921465067,0.6950516828930121,-0.6383650381777454,270,0.5814814814814815,5.473616921465067,2400,2019-01-26,2025-09-05,3stage_full,raw
prob_weighted,btc,lightgbm,2.3733729182360315,0.689173802509379,-0.4320770077738463,242,0.6115702479338843,3.3733729182360315,2400,2019-01-26,2025-09-05,3stage_full,raw
stateful,btc,lightgbm,3.474226830555118,0.6007823436649957,-0.5306185040984168,141,0.524822695035461,4.474226830555118,2400,2019-01-26,2025-09-05,3stage_full,cal
defensive,btc,lightgbm,3.892289031779364,0.6256896008947722,-0.5306185040984174,148,0.527027027027027,4.892289031779364,2400,2019-01-26,2025-09-05,3stage_full,cal
prob_weighted,btc,lightgbm,0.7542706554447474,0.4760932876968808,-0.32139549727797856,141,0.5390070921985816,1.7542706554447474,2400,2019-01-26,2025-09-05,3stage_full,cal
stateful,btc,random_forest,9.470272191549734,0.8449110493601643,-0.48792015655912413,184,0.5434782608695652,10.470272191549734,2400,2019-01-26,2025-09-05,3stage_full,raw
defensive,btc,random_forest,7.66394262094577,0.8340109389879607,-0.3845496908888566,241,0.5518672199170125,8.66394262094577,2400,2019-01-26,2025-09-05,3stage_full,raw
prob_weighted,btc,random_forest,0.7356392680794905,0.6692898817900502,-0.11871301632125264,222,0.5405405405405406,1.7356392680794905,2400,2019-01-26,2025-09-05,3stage_full,raw
stateful,btc,random_forest,11.81254212899351,0.8732656300578597,-0.5306185040984174,105,0.5333333333333333,12.81254212899351,2400,2019-01-26,2025-09-05,3stage_full,cal
defensive,btc,random_forest,16.205324061080905,0.9614039411772336,-0.48346219444633065,122,0.5491803278688525,17.205324061080905,2400,2019-01-26,2025-09-05,3stage_full,cal
prob_weighted,btc,random_forest,1.469121457618178,0.7554589404182599,-0.2828644601309689,108,0.5740740740740741,2.469121457618178,2400,2019-01-26,2025-09-05,3stage_full,cal
stateful,btc,mlp,8.375722565960873,0.7949296696726827,-0.6214449436547931,177,0.5141242937853108,9.375722565960873,2400,2019-01-26,2025-09-05,3stage_full,raw
defensive,btc,mlp,6.48904331800216,0.7445081745034123,-0.6304869681513825,213,0.5352112676056338,7.48904331800216,2400,2019-01-26,2025-09-05,3stage_full,raw
prob_weighted,btc,mlp,2.2220120278280153,0.6016974287688701,-0.4533301727439242,193,0.5958549222797928,3.2220120278280153,2400,2019-01-26,2025-09-05,3stage_full,raw
stateful,btc,mlp,4.696714932154325,0.6433545521695719,-0.7148032280949784,116,0.5344827586206896,5.696714932154325,2400,2019-01-26,2025-09-05,3stage_full,cal
defensive,btc,mlp,5.860241484363058,0.6911812657007225,-0.7130670752344508,128,0.5546875,6.860241484363058,2400,2019-01-26,2025-09-05,3stage_full,cal
prob_weighted,btc,mlp,0.5302945086560078,0.33321200705690035,-0.35327645384975603,120,0.55,1.5302945086560078,2400,2019-01-26,2025-09-05,3stage_full,cal
stateful,eth,lightgbm,0.08979777897418262,0.26534780394569374,-0.6667020617156497,138,0.5217391304347826,1.0897977789741826,1200,2022-03-16,2025-07-06,flat,raw
defensive,eth,lightgbm,0.8060110164305192,0.5065341899457962,-0.5466036397489966,195,0.5230769230769231,1.8060110164305192,1200,2022-03-16,2025-07-06,flat,raw
prob_weighted,eth,lightgbm,0.27379147601313214,0.5281459568879466,-0.21715083272302904,198,0.5202020202020202,1.2737914760131321,1200,2022-03-16,2025-07-06,flat,raw
stateful,eth,lightgbm,-0.04463553653697694,0.17910723679186394,-0.6636746882864606,97,0.5154639175257731,0.9553644634630231,1200,2022-03-16,2025-07-06,flat,cal
defensive,eth,lightgbm,-0.17867519145575095,0.09845967381881932,-0.6681588998459937,123,0.4959349593495935,0.821324808544249,1200,2022-03-16,2025-07-06,flat,cal
prob_weighted,eth,lightgbm,0.24039660402711904,0.44429717631845406,-0.17170097807085793,101,0.5247524752475248,1.240396604027119,1200,2022-03-16,2025-07-06,flat,cal
stateful,eth,xgboost,-0.2322326149814432,0.11084321475848709,-0.6430432819719607,146,0.5,0.7677673850185568,1200,2022-03-16,2025-07-06,flat,raw
defensive,eth,xgboost,0.5315546175106249,0.42283471325337846,-0.5394600420185325,209,0.5358851674641149,1.531554617510625,1200,2022-03-16,2025-07-06,flat,raw
prob_weighted,eth,xgboost,0.12546754191973264,0.26759196493945225,-0.26896320408254026,204,0.5490196078431373,1.1254675419197326,1200,2022-03-16,2025-07-06,flat,raw
stateful,eth,xgboost,-0.20724772480763698,0.08935576057729752,-0.6108318607615909,109,0.5321100917431193,0.792752275192363,1200,2022-03-16,2025-07-06,flat,cal
defensive,eth,xgboost,-0.2695641619094733,0.04520259396764168,-0.6393958289832488,133,0.5263157894736842,0.7304358380905267,1200,2022-03-16,2025-07-06,flat,cal
prob_weighted,eth,xgboost,0.09090768377259906,0.23156482124326816,-0.2236952626710036,111,0.5135135135135135,1.090907683772599,1200,2022-03-16,2025-07-06,flat,cal
stateful,eth,random_forest,1.0527469572779147,0.5568701977785638,-0.6933830276066534,103,0.5436893203883495,2.0527469572779147,1200,2022-03-16,2025-07-06,flat,raw
defensive,eth,random_forest,0.936835286084251,0.5401891575000813,-0.5332596144728157,143,0.5384615384615384,1.936835286084251,1200,2022-03-16,2025-07-06,flat,raw
prob_weighted,eth,random_forest,0.0958645470881323,0.2820880529894111,-0.19261294922498529,139,0.5611510791366906,1.0958645470881323,1200,2022-03-16,2025-07-06,flat,raw
stateful,eth,random_forest,0.4044669488614605,0.37734882808549375,-0.5290699000423624,90,0.6444444444444445,1.4044669488614605,1200,2022-03-16,2025-07-06,flat,cal
defensive,eth,random_forest,0.3471548247611955,0.3553857051598809,-0.5290699000423624,100,0.62,1.3471548247611955,1200,2022-03-16,2025-07-06,flat,cal
prob_weighted,eth,random_forest,-0.1225427764699395,-0.17913980020803244,-0.2622487118902229,95,0.6526315789473685,0.8774572235300605,1200,2022-03-16,2025-07-06,flat,cal
stateful,eth,mlp,0.9116202755573133,0.520419146005668,-0.6182146016405404,72,0.4861111111111111,1.9116202755573133,1200,2022-03-16,2025-07-06,flat,raw
defensive,eth,mlp,0.8429801881899155,0.5056559202360853,-0.6262632762332385,75,0.48,1.8429801881899155,1200,2022-03-16,2025-07-06,flat,raw
prob_weighted,eth,mlp,0.3431303324561874,0.45358033204988596,-0.322617367796146,73,0.5342465753424658,1.3431303324561874,1200,2022-03-16,2025-07-06,flat,raw
stateful,eth,mlp,0.4008033193066618,0.37501173124874804,-0.5105727825507693,54,0.5740740740740741,1.4008033193066618,1200,2022-03-16,2025-07-06,flat,cal
defensive,eth,mlp,0.30842762124742373,0.3357303675858571,-0.5105727825507693,62,0.5645161290322581,1.3084276212474237,1200,2022-03-16,2025-07-06,flat,cal
prob_weighted,eth,mlp,0.2620402978398526,0.4326325937495583,-0.2001143078372205,60,0.6,1.2620402978398526,1200,2022-03-16,2025-07-06,flat,cal
